Pre-purchase Mutant Year Zero: Road to Eden,280.000,6.0,NVidia GTX 580 / AMD Radeon HD 7870,8.0,Strategy RPG Adventure Turn-Based Combat Turn-Based Post-apocalyptic Turn-Based Tactics,4 Dec, 2018,,0
Save 50% on The Elder Scrolls® Online,225.000,3.0,Direct X 11.0 compliant video card with 1GB RAM (NVidia GeForce 460 or AMD Radeon 6850),85.0,RPG Open World MMORPG Massively Multiplayer Fantasy Multiplayer Adventure First-Person Third Person Exploration Action Story Rich Magic Atmospheric Great Soundtrack Co-op Action RPG Singleplayer Sandbox Female Protagonist,4 Apr, 2014,33011,76
Human: Fall Flat,165.000,1.0,GeForce GT 740 (2048 MB) or equivalent | Radeon HD 5770 (1024 MB),0.48828125,Funny Multiplayer Co-op Physics Puzzle Local Co-Op Indie Adventure Puzzle-Platformer Local Multiplayer Sandbox Parkour Open World Comedy Split Screen Singleplayer Casual 3D Platformer Survival Simulation,22 Jul, 2016,18911,90
SMITE®,0,4.0,Nvidia GeForce 8800 GT,30.0,Free to Play MOBA Multiplayer Action Third Person Mythology Team-Based Competitive Strategy Co-op PvP Massively Multiplayer RPG e-sports MMORPG Adventure Funny Survival Nudity Casual,8 Sep, 2015,41074,81
Beat Saber,188.000,4.0,Nvidia GTX 960 or equivalent,0.1953125,Early Access VR Rhythm Music Indie Early Access Great Soundtrack Star Wars Sports Singleplayer First-Person,1 May, 2018,8109,97
OVERKILL's The Walking Dead,250.000,6.0,GeForce GTX 750 Ti,60.0,Zombies Action Co-op FPS Multiplayer Violent Survival First-Person Post-apocalyptic Survival Horror Online Co-Op Horror Gore Singleplayer Shooter Open World Team-Based Adventure Nudity Story Rich,6 Nov, 2018,,0
Factorio,250.000,0.00390625,,1.0,Early Access Base Building Resource Management Sandbox Crafting Strategy Survival Multiplayer Open World Management Co-op Singleplayer Simulation Early Access Moddable Trains Indie Sci-fi Aliens Tower Defense,25 Feb, 2016,34980,98
Age of Empires II HD,188.000,1.0,Direct X 9.0c Capable GPU,0,Strategy RTS Multiplayer Medieval Classic Historical Base Building Singleplayer City Builder Resource Management Tactical Co-op Competitive Real-Time Remake Replay Value 2D Action Adventure Isometric,9 Apr, 2013,43273,94
Frostpunk,250.000,4.0,GeForce GTX 660, Radeon R7 370 or equivalent with 2 GB of video RAM,8.0,Survival City Builder Strategy Building Steampunk Post-apocalyptic Resource Management Singleplayer Management Base Building Choices Matter Simulation Atmospheric Economy Dark Real-Time with Pause Difficult RTS Indie Great Soundtrack,24 Apr, 2018,17890,87
The Elder Scrolls V: Skyrim Special Edition,900.000,8.0,NVIDIA GTX 470 1GB /AMD HD 7870 2GB,12.0,Open World RPG Adventure Singleplayer Fantasy Character Customization Dragons Moddable Story Rich Magic First-Person Action Atmospheric Great Soundtrack Third Person Stealth Remake Classic Walking Simulator Female Protagonist,27 Oct, 2016,12148,82
